Minimum cut between characters:
psikhologiia -> fizika = 23
psikhologiia -> ekonomika = 27
psikhologiia -> moskva = 26
psikhologiia -> kosmos = 19
psikhologiia -> geografiia = 25
psikhologiia -> transport = 14
psikhologiia -> khimiia = 14
psikhologiia -> finansy = 13
psikhologiia -> avto = 13
psikhologiia -> dizain = 12
psikhologiia -> blizhnii-vostok = 9
psikhologiia -> khristianstvo = 8
psikhologiia -> arkhitektura = 13
psikhologiia -> diplomatiia = 9
psikhologiia -> islam = 8
psikhologiia -> ssha = 8
psikhologiia -> russkii-iazyk = 8
psikhologiia -> vselennaia = 5
psikhologiia -> kafe-i-restorany = 10
psikhologiia -> rynok = 7
psikhologiia -> ekologiia = 12
psikhologiia -> evropa = 7
psikhologiia -> urbanistika = 6
psikhologiia -> vysshee-obrazovanie = 6
psikhologiia -> daish = 5
psikhologiia -> astronomiia = 3
psikhologiia -> angliiskii-iazyk = 5
psikhologiia -> poeziia = 4
rossiia -> biologiia = 34
rossiia -> mozg = 35
rossiia -> telo = 33
rossiia -> nauka = 22
rossiia -> fizika = 23
rossiia -> chelovek = 19
rossiia -> zhivotnye = 18
rossiia -> teoriia-nauki = 18
rossiia -> otnosheniia = 16
rossiia -> khimiia = 14
rossiia -> chto-pochitat = 11
rossiia -> fiziologiia = 9
rossiia -> knigi = 9
rossiia -> rabota = 10
rossiia -> muzhchiny-i-zhenshchiny = 8
rossiia -> liubov = 5
rossiia -> islam = 8
rossiia -> son = 8
rossiia -> non-fiction = 10
rossiia -> vselennaia = 5
rossiia -> kafe-i-restorany = 10
rossiia -> liudi = 8
rossiia -> gender = 5
rossiia -> feminizm = 6
rossiia -> serialy = 8
rossiia -> semia = 4
rossiia -> soznanie = 5
rossiia -> astronomiia = 3
rossiia -> angliiskii-iazyk = 5
rossiia -> poeziia = 4
zachem-ia-eto-uznal -> finansy = 13
zachem-ia-eto-uznal -> chto-pochitat = 11
zachem-ia-eto-uznal -> dizain = 12
zachem-ia-eto-uznal -> fiziologiia = 9
zachem-ia-eto-uznal -> blizhnii-vostok = 9
zachem-ia-eto-uznal -> dengi = 9
zachem-ia-eto-uznal -> knigi = 9
zachem-ia-eto-uznal -> diskriminatsiia = 10
zachem-ia-eto-uznal -> rabota = 10
zachem-ia-eto-uznal -> muzhchiny-i-zhenshchiny = 8
zachem-ia-eto-uznal -> liubov = 5
zachem-ia-eto-uznal -> sssr = 9
zachem-ia-eto-uznal -> diplomatiia = 9
zachem-ia-eto-uznal -> islam = 8
zachem-ia-eto-uznal -> ssha = 8
zachem-ia-eto-uznal -> son = 8
zachem-ia-eto-uznal -> non-fiction = 10
zachem-ia-eto-uznal -> vselennaia = 5
zachem-ia-eto-uznal -> rynok = 7
zachem-ia-eto-uznal -> debaty = 11
zachem-ia-eto-uznal -> evropa = 7
zachem-ia-eto-uznal -> gender = 5
zachem-ia-eto-uznal -> feminizm = 6
zachem-ia-eto-uznal -> urbanistika = 6
zachem-ia-eto-uznal -> semia = 4
zachem-ia-eto-uznal -> soznanie = 5
zachem-ia-eto-uznal -> vysshee-obrazovanie = 6
zachem-ia-eto-uznal -> daish = 5
zachem-ia-eto-uznal -> astronomiia = 3
zachem-ia-eto-uznal -> angliiskii-iazyk = 5
zachem-ia-eto-uznal -> poeziia = 4
istoriia -> laifkhak = 48
istoriia -> mozg = 35
istoriia -> kak-eto-rabotaet = 44
istoriia -> telo = 33
istoriia -> biznes = 29
istoriia -> chelovek = 19
istoriia -> media = 21
istoriia -> deti = 23
istoriia -> otnosheniia = 16
istoriia -> sport = 15
istoriia -> transport = 14
istoriia -> khimiia = 14
istoriia -> zhizn = 19
istoriia -> alkogol = 15
istoriia -> aviatsiia = 18
istoriia -> temy-net = 23
istoriia -> avto = 13
istoriia -> dizain = 12
istoriia -> fiziologiia = 9
istoriia -> dengi = 9
istoriia -> diskriminatsiia = 10
istoriia -> rabota = 10
istoriia -> muzhchiny-i-zhenshchiny = 8
istoriia -> liubov = 5
istoriia -> son = 8
istoriia -> vselennaia = 5
istoriia -> kafe-i-restorany = 10
istoriia -> rynok = 7
istoriia -> ekologiia = 12
istoriia -> liudi = 8
istoriia -> gender = 5
istoriia -> serialy = 8
istoriia -> urbanistika = 6
istoriia -> semia = 4
istoriia -> soznanie = 5
istoriia -> vysshee-obrazovanie = 6
istoriia -> daish = 5
istoriia -> astronomiia = 3
istoriia -> angliiskii-iazyk = 5
istoriia -> poeziia = 4
obrazovanie -> eda = 35
obrazovanie -> seks = 26
obrazovanie -> antropologiia = 26
obrazovanie -> chelovek = 19
obrazovanie -> zhivotnye = 18
obrazovanie -> krasota = 23
obrazovanie -> otnosheniia = 16
obrazovanie -> obshchestvo = 19
obrazovanie -> moda = 19
obrazovanie -> sport = 15
obrazovanie -> transport = 14
obrazovanie -> alkogol = 15
